id,timestamp,department,electricity_kWh,water_liters,electricity_cost,water_cost,total_cost,year,month,day,hour,day_name,usage_type,total_consumption,high_usage_flag
26,2023-01-01 05:00:00,Production,149.91,516.91,1499.09,10.34,1509.43,2023,1,1,5,Sunday,Non-Peak,666.82,1
36,2023-01-01 07:00:00,Production,145.47,485.4,1454.75,9.71,1464.45,2023,1,1,7,Sunday,Non-Peak,630.87,1
61,2023-01-01 12:00:00,Production,157.32,523.69,1573.15,10.47,1583.63,2023,1,1,12,Sunday,Peak,681.01,1
66,2023-01-01 13:00:00,Production,137.57,488.02,1375.73,9.76,1385.5,2023,1,1,13,Sunday,Peak,625.59,1
76,2023-01-01 15:00:00,Production,137.45,553.31,1374.49,11.07,1385.56,2023,1,1,15,Sunday,Peak,690.76,1
86,2023-01-01 17:00:00,Production,151.21,506.43,1512.08,10.13,1522.2,2023,1,1,17,Sunday,Peak,657.64,1
136,2023-01-02 03:00:00,Production,165.52,520.31,1655.15,10.41,1665.56,2023,1,2,3,Monday,Non-Peak,685.83,1
161,2023-01-02 08:00:00,Production,150.05,503.7,1500.47,10.07,1510.55,2023,1,2,8,Monday,Non-Peak,653.75,1
171,2023-01-02 10:00:00,Production,159.29,501.76,1592.95,10.04,1602.98,2023,1,2,10,Monday,Peak,661.05,1
186,2023-01-02 13:00:00,Production,147.91,434.52,1479.15,8.69,1487.84,2023,1,2,13,Monday,Peak,582.43,1
221,2023-01-02 20:00:00,Production,137.39,567.78,1373.92,11.36,1385.28,2023,1,2,20,Monday,Non-Peak,705.17,1
291,2023-01-03 10:00:00,Production,138.77,474.2,1387.66,9.48,1397.14,2023,1,3,10,Tuesday,Peak,612.97,1
296,2023-01-03 11:00:00,Production,137.36,514.15,1373.55,10.28,1383.84,2023,1,3,11,Tuesday,Peak,651.51,1
306,2023-01-03 13:00:00,Production,166.19,466.81,1661.94,9.34,1671.28,2023,1,3,13,Tuesday,Peak,633,1
311,2023-01-03 14:00:00,Production,148.41,471.46,1484.1,9.43,1493.53,2023,1,3,14,Tuesday,Peak,619.87,1
366,2023-01-04 01:00:00,Production,156.24,517.9,1562.4,10.36,1572.75,2023,1,4,1,Wednesday,Non-Peak,674.14,1
381,2023-01-04 04:00:00,Production,141.57,498.07,1415.74,9.96,1425.7,2023,1,4,4,Wednesday,Non-Peak,639.64,1
416,2023-01-04 11:00:00,Production,140.94,528.5,1409.38,10.57,1419.95,2023,1,4,11,Wednesday,Peak,669.44,1
421,2023-01-04 12:00:00,Production,152.84,550.49,1528.4,11.01,1539.41,2023,1,4,12,Wednesday,Peak,703.33,1
431,2023-01-04 14:00:00,Production,138.37,421.47,1383.66,8.43,1392.09,2023,1,4,14,Wednesday,Peak,559.84,1
436,2023-01-04 15:00:00,Production,147.95,496.24,1479.48,9.92,1489.41,2023,1,4,15,Wednesday,Peak,644.19,1
446,2023-01-04 17:00:00,Production,144.49,581.17,1444.92,11.62,1456.54,2023,1,4,17,Wednesday,Peak,725.66,1
476,2023-01-04 23:00:00,Production,169.3,484.99,1692.98,9.7,1702.68,2023,1,4,23,Wednesday,Non-Peak,654.29,1
501,2023-01-05 04:00:00,Production,163.15,469.71,1631.46,9.39,1640.86,2023,1,5,4,Thursday,Non-Peak,632.86,1
540,2023-01-05 11:00:00,R&D,205.63,381.64,2056.32,7.63,2063.95,2023,1,5,11,Thursday,Peak,587.27,1
546,2023-01-05 13:00:00,Production,142.32,467.54,1423.18,9.35,1432.53,2023,1,5,13,Thursday,Peak,609.86,1
551,2023-01-05 14:00:00,Production,144.42,529.1,1444.21,10.58,1454.79,2023,1,5,14,Thursday,Peak,673.52,1
556,2023-01-05 15:00:00,Production,140.66,490.25,1406.59,9.81,1416.4,2023,1,5,15,Thursday,Peak,630.91,1
621,2023-01-06 04:00:00,Production,142.14,493.98,1421.42,9.88,1431.3,2023,1,6,4,Friday,Non-Peak,636.12,1
626,2023-01-06 05:00:00,Production,137.77,473.66,1377.73,9.47,1387.21,2023,1,6,5,Friday,Non-Peak,611.43,1
681,2023-01-06 16:00:00,Production,139.3,580.78,1392.97,11.62,1404.59,2023,1,6,16,Friday,Peak,720.08,1
706,2023-01-06 21:00:00,Production,174.32,486.51,1743.19,9.73,1752.92,2023,1,6,21,Friday,Non-Peak,660.83,1
726,2023-01-07 01:00:00,Production,137.46,468.5,1374.58,9.37,1383.95,2023,1,7,1,Saturday,Non-Peak,605.96,1
745,2023-01-07 04:00:00,R&D,171.74,515.72,1717.36,10.31,1727.67,2023,1,7,4,Saturday,Non-Peak,687.46,1
756,2023-01-07 07:00:00,Production,145.49,540.5,1454.92,10.81,1465.73,2023,1,7,7,Saturday,Non-Peak,685.99,1
826,2023-01-07 21:00:00,Production,149.19,413.99,1491.95,8.28,1500.23,2023,1,7,21,Saturday,Non-Peak,563.18,1
831,2023-01-07 22:00:00,Production,159.91,655.5,1599.13,13.11,1612.24,2023,1,7,22,Saturday,Non-Peak,815.41,1
836,2023-01-07 23:00:00,Production,141.16,546.88,1411.64,10.94,1422.58,2023,1,7,23,Saturday,Non-Peak,688.04,1
841,2023-01-08 00:00:00,Production,137.81,528.76,1378.08,10.58,1388.65,2023,1,8,0,Sunday,Non-Peak,666.57,1
921,2023-01-08 16:00:00,Production,172.42,444.4,1724.16,8.89,1733.05,2023,1,8,16,Sunday,Peak,616.82,1
966,2023-01-09 01:00:00,Production,141.43,601,1414.28,12.02,1426.3,2023,1,9,1,Monday,Non-Peak,742.43,1
1011,2023-01-09 10:00:00,Production,151.26,486.3,1512.58,9.73,1522.3,2023,1,9,10,Monday,Peak,637.56,1
1066,2023-01-09 21:00:00,Production,158.19,540.49,1581.88,10.81,1592.69,2023,1,9,21,Monday,Non-Peak,698.68,1
1086,2023-01-10 01:00:00,Production,154.47,524.95,1544.69,10.5,1555.19,2023,1,10,1,Tuesday,Non-Peak,679.42,1
1136,2023-01-10 11:00:00,Production,151.36,457.02,1513.56,9.14,1522.7,2023,1,10,11,Tuesday,Peak,608.38,1
1146,2023-01-10 13:00:00,Production,142.89,510.49,1428.92,10.21,1439.13,2023,1,10,13,Tuesday,Peak,653.38,1
1151,2023-01-10 14:00:00,Production,138.01,522.56,1380.08,10.45,1390.53,2023,1,10,14,Tuesday,Peak,660.57,1
1236,2023-01-11 07:00:00,Production,142.06,596.77,1420.59,11.94,1432.52,2023,1,11,7,Wednesday,Non-Peak,738.83,1
1246,2023-01-11 09:00:00,Production,162.07,529.82,1620.73,10.6,1631.33,2023,1,11,9,Wednesday,Peak,691.89,1
1266,2023-01-11 13:00:00,Production,147.36,441.56,1473.62,8.83,1482.45,2023,1,11,13,Wednesday,Peak,588.92,1
1271,2023-01-11 14:00:00,Production,137.59,446.13,1375.88,8.92,1384.81,2023,1,11,14,Wednesday,Peak,583.72,1
1301,2023-01-11 20:00:00,Production,157.96,452.61,1579.55,9.05,1588.61,2023,1,11,20,Wednesday,Non-Peak,610.57,1
1376,2023-01-12 11:00:00,Production,143.94,426.2,1439.44,8.52,1447.96,2023,1,12,11,Thursday,Peak,570.14,1
1411,2023-01-12 18:00:00,Production,157.11,511.21,1571.1,10.22,1581.32,2023,1,12,18,Thursday,Peak,668.32,1
1446,2023-01-13 01:00:00,Production,153.69,592.19,1536.92,11.84,1548.76,2023,1,13,1,Friday,Non-Peak,745.88,1
1476,2023-01-13 07:00:00,Production,144.24,475.34,1442.43,9.51,1451.94,2023,1,13,7,Friday,Non-Peak,619.58,1
1496,2023-01-13 11:00:00,Production,142.92,495.1,1429.24,9.9,1439.14,2023,1,13,11,Friday,Peak,638.02,1
1501,2023-01-13 12:00:00,Production,156.27,482.86,1562.68,9.66,1572.34,2023,1,13,12,Friday,Peak,639.13,1
1541,2023-01-13 20:00:00,Production,150.18,530.28,1501.83,10.61,1512.43,2023,1,13,20,Friday,Non-Peak,680.46,1
1551,2023-01-13 22:00:00,Production,209.82,804.33,2098.18,16.09,2114.27,2023,1,13,22,Friday,Non-Peak,1014.15,1
1566,2023-01-14 01:00:00,Production,157.18,549.11,1571.8,10.98,1582.78,2023,1,14,1,Saturday,Non-Peak,706.29,1
1626,2023-01-14 13:00:00,Production,159.46,520.76,1594.56,10.42,1604.98,2023,1,14,13,Saturday,Peak,680.22,1
1651,2023-01-14 18:00:00,Production,140.43,545.95,1404.3,10.92,1415.22,2023,1,14,18,Saturday,Peak,686.38,1
1656,2023-01-14 19:00:00,Production,154.6,426.15,1545.98,8.52,1554.5,2023,1,14,19,Saturday,Non-Peak,580.75,1
1686,2023-01-15 01:00:00,Production,174.02,837.07,1740.24,16.74,1756.98,2023,1,15,1,Sunday,Non-Peak,1011.09,1
1691,2023-01-15 02:00:00,Production,148.14,475.79,1481.39,9.52,1490.9,2023,1,15,2,Sunday,Non-Peak,623.93,1
1731,2023-01-15 10:00:00,Production,138.47,447.47,1384.7,8.95,1393.65,2023,1,15,10,Sunday,Peak,585.94,1
1741,2023-01-15 12:00:00,Production,143.63,617.18,1436.31,12.34,1448.66,2023,1,15,12,Sunday,Peak,760.81,1
1751,2023-01-15 14:00:00,Production,139.88,568.7,1398.76,11.37,1410.13,2023,1,15,14,Sunday,Peak,708.58,1
1766,2023-01-15 17:00:00,Production,137.81,518.3,1378.1,10.37,1388.47,2023,1,15,17,Sunday,Peak,656.11,1
1771,2023-01-15 18:00:00,Production,141.93,390.44,1419.31,7.81,1427.12,2023,1,15,18,Sunday,Peak,532.37,1
1776,2023-01-15 19:00:00,Production,164.11,559.97,1641.11,11.2,1652.31,2023,1,15,19,Sunday,Non-Peak,724.08,1
1816,2023-01-16 03:00:00,Production,138.8,480.52,1388,9.61,1397.61,2023,1,16,3,Monday,Non-Peak,619.32,1
1836,2023-01-16 07:00:00,Production,166.78,483.3,1667.83,9.67,1677.49,2023,1,16,7,Monday,Non-Peak,650.08,1
1851,2023-01-16 10:00:00,Production,165.52,457.39,1655.17,9.15,1664.31,2023,1,16,10,Monday,Peak,622.91,1
1860,2023-01-16 11:00:00,R&D,170.97,369.01,1709.74,7.38,1717.12,2023,1,16,11,Monday,Peak,539.98,1
1876,2023-01-16 15:00:00,Production,146.42,508.47,1464.15,10.17,1474.32,2023,1,16,15,Monday,Peak,654.89,1
1891,2023-01-16 18:00:00,Production,141.84,472.6,1418.42,9.45,1427.87,2023,1,16,18,Monday,Peak,614.44,1
1911,2023-01-16 22:00:00,Production,188.39,934.76,1883.9,18.7,1902.6,2023,1,16,22,Monday,Non-Peak,1123.15,1
1916,2023-01-16 23:00:00,Production,139.99,455.09,1399.94,9.1,1409.04,2023,1,16,23,Monday,Non-Peak,595.08,1
1966,2023-01-17 09:00:00,Production,148.14,439.57,1481.45,8.79,1490.24,2023,1,17,9,Tuesday,Peak,587.71,1
1981,2023-01-17 12:00:00,Production,145.84,462.54,1458.41,9.25,1467.66,2023,1,17,12,Tuesday,Peak,608.38,1
1986,2023-01-17 13:00:00,Production,153.97,384.28,1539.66,7.69,1547.34,2023,1,17,13,Tuesday,Peak,538.25,1
2001,2023-01-17 16:00:00,Production,143.72,577.02,1437.23,11.54,1448.77,2023,1,17,16,Tuesday,Peak,720.74,1
2016,2023-01-17 19:00:00,Production,139.07,541.31,1390.68,10.83,1401.51,2023,1,17,19,Tuesday,Non-Peak,680.38,1
2021,2023-01-17 20:00:00,Production,148.96,546.93,1489.56,10.94,1500.5,2023,1,17,20,Tuesday,Non-Peak,695.89,1
2026,2023-01-17 21:00:00,Production,147.71,477.63,1477.1,9.55,1486.65,2023,1,17,21,Tuesday,Non-Peak,625.34,1
2106,2023-01-18 13:00:00,Production,140.45,473.33,1404.49,9.47,1413.96,2023,1,18,13,Wednesday,Peak,613.78,1
2111,2023-01-18 14:00:00,Production,153.43,454.93,1534.27,9.1,1543.37,2023,1,18,14,Wednesday,Peak,608.36,1
2121,2023-01-18 16:00:00,Production,153.47,522.09,1534.69,10.44,1545.13,2023,1,18,16,Wednesday,Peak,675.56,1
2135,2023-01-18 18:00:00,R&D,140.91,413.3,1409.07,8.27,1417.34,2023,1,18,18,Wednesday,Peak,554.21,1
2151,2023-01-18 22:00:00,Production,169.84,486.24,1698.44,9.72,1708.16,2023,1,18,22,Wednesday,Non-Peak,656.08,1
2161,2023-01-19 00:00:00,Production,147.54,551,1475.44,11.02,1486.46,2023,1,19,0,Thursday,Non-Peak,698.54,1
2191,2023-01-19 06:00:00,Production,157.37,501.74,1573.72,10.03,1583.76,2023,1,19,6,Thursday,Non-Peak,659.11,1
2196,2023-01-19 07:00:00,Production,146.55,610.46,1465.52,12.21,1477.73,2023,1,19,7,Thursday,Non-Peak,757.01,1
2206,2023-01-19 09:00:00,Production,164.77,453.05,1647.67,9.06,1656.73,2023,1,19,9,Thursday,Peak,617.82,1
2211,2023-01-19 10:00:00,Production,141.66,446.18,1416.6,8.92,1425.52,2023,1,19,10,Thursday,Peak,587.84,1
2226,2023-01-19 13:00:00,Production,140.88,498.93,1408.77,9.98,1418.75,2023,1,19,13,Thursday,Peak,639.81,1
2241,2023-01-19 16:00:00,Production,138.2,490.82,1382.04,9.82,1391.86,2023,1,19,16,Thursday,Peak,629.02,1
2251,2023-01-19 18:00:00,Production,139.18,556.38,1391.76,11.13,1402.89,2023,1,19,18,Thursday,Peak,695.56,1
2266,2023-01-19 21:00:00,Production,139.47,531.19,1394.67,10.62,1405.3,2023,1,19,21,Thursday,Non-Peak,670.66,1
2271,2023-01-19 22:00:00,Production,137.97,556.24,1379.67,11.12,1390.8,2023,1,19,22,Thursday,Non-Peak,694.21,1
2276,2023-01-19 23:00:00,Production,161.97,430.73,1619.75,8.61,1628.36,2023,1,19,23,Thursday,Non-Peak,592.7,1
2306,2023-01-20 05:00:00,Production,150.25,443.42,1502.51,8.87,1511.37,2023,1,20,5,Friday,Non-Peak,593.67,1
2326,2023-01-20 09:00:00,Production,137.91,412.98,1379.11,8.26,1387.36,2023,1,20,9,Friday,Peak,550.89,1
2361,2023-01-20 16:00:00,Production,141.79,618.27,1417.91,12.37,1430.27,2023,1,20,16,Friday,Peak,760.06,1
2391,2023-01-20 22:00:00,Production,143.82,492.66,1438.22,9.85,1448.07,2023,1,20,22,Friday,Non-Peak,636.48,1
2405,2023-01-21 00:00:00,R&D,138.71,219.16,1387.08,4.38,1391.46,2023,1,21,0,Saturday,Non-Peak,357.87,1
2421,2023-01-21 04:00:00,Production,144.04,500.44,1440.39,10.01,1450.4,2023,1,21,4,Saturday,Non-Peak,644.48,1
2426,2023-01-21 05:00:00,Production,143.36,518.61,1433.63,10.37,1444.01,2023,1,21,5,Saturday,Non-Peak,661.97,1
2446,2023-01-21 09:00:00,Production,153.87,501.53,1538.67,10.03,1548.7,2023,1,21,9,Saturday,Peak,655.4,1
2456,2023-01-21 11:00:00,Production,153.84,577.26,1538.37,11.55,1549.91,2023,1,21,11,Saturday,Peak,731.1,1
2491,2023-01-21 18:00:00,Production,146.98,501.22,1469.84,10.02,1479.86,2023,1,21,18,Saturday,Peak,648.2,1
2516,2023-01-21 23:00:00,Production,140.07,484.83,1400.74,9.7,1410.43,2023,1,21,23,Saturday,Non-Peak,624.9,1
2521,2023-01-22 00:00:00,Production,141,516.23,1410.01,10.32,1420.33,2023,1,22,0,Sunday,Non-Peak,657.23,1
2541,2023-01-22 04:00:00,Production,146.28,452.56,1462.81,9.05,1471.87,2023,1,22,4,Sunday,Non-Peak,598.84,1
2546,2023-01-22 05:00:00,Production,146.73,503.5,1467.28,10.07,1477.35,2023,1,22,5,Sunday,Non-Peak,650.23,1
2561,2023-01-22 08:00:00,Production,143.74,451.76,1437.42,9.04,1446.45,2023,1,22,8,Sunday,Non-Peak,595.5,1
2566,2023-01-22 09:00:00,Production,161.75,478.68,1617.55,9.57,1627.12,2023,1,22,9,Sunday,Peak,640.43,1
2586,2023-01-22 13:00:00,Production,275.51,1042.79,2755.08,20.86,2775.94,2023,1,22,13,Sunday,Peak,1318.3,1
