timestamp,department,electricity_kWh,water_liters,electricity_cost,water_cost,total_cost
2023-01-01 00:00:00,Production,129.93,493.09,1299.34,9.86,1309.2
2023-01-01 00:00:00,Admin,38.88,209.57,388.81,4.19,393
2023-01-01 00:00:00,IT,83.69,165.35,836.88,3.31,840.19
2023-01-01 00:00:00,HR,34.19,92.12,341.91,1.84,343.75
2023-01-01 00:00:00,R&D,84.84,192.6,848.39,3.85,852.24
2023-01-01 01:00:00,Production,136.33,423.81,1363.29,8.48,1371.77
2023-01-01 01:00:00,Admin,40.92,157.63,409.2,3.15,412.35
2023-01-01 01:00:00,IT,50.56,161.95,505.58,3.24,508.82
2023-01-01 01:00:00,HR,34.56,101.66,345.56,2.03,347.6
2023-01-01 01:00:00,R&D,67.99,278.42,679.95,5.57,685.52
2023-01-01 02:00:00,Production,107.97,592.61,1079.66,11.85,1091.51
2023-01-01 02:00:00,Admin,44.66,199.83,446.64,4,450.63
2023-01-01 02:00:00,IT,72.34,125.58,723.38,2.51,725.89
2023-01-01 02:00:00,HR,67.78,117.9,677.83,2.36,680.19
2023-01-01 02:00:00,R&D,94.77,255.14,947.69,5.1,952.8
2023-01-01 03:00:00,Production,99.82,420.84,998.18,8.42,1006.6
2023-01-01 03:00:00,Admin,45.39,231.71,453.94,4.63,458.57
2023-01-01 03:00:00,IT,43.04,152.69,430.42,3.05,433.47
2023-01-01 03:00:00,HR,63.4,202.35,633.95,4.05,638
2023-01-01 03:00:00,R&D,97.89,272.65,978.87,5.45,984.32
2023-01-01 04:00:00,Production,103.22,484.54,1032.16,9.69,1041.85
2023-01-01 04:00:00,Admin,34.92,232.99,349.18,4.66,353.84
2023-01-01 04:00:00,IT,43.4,126.08,434.05,2.52,436.57
2023-01-01 04:00:00,HR,48.35,104.45,483.48,2.09,485.57
2023-01-01 04:00:00,R&D,87.23,230.65,872.33,4.61,876.94
2023-01-01 05:00:00,Production,149.91,516.91,1499.09,10.34,1509.43
2023-01-01 05:00:00,Admin,23.8,224.66,238.03,4.49,242.52
2023-01-01 05:00:00,IT,38.72,170.85,387.19,3.42,390.6
2023-01-01 05:00:00,HR,37.8,105.36,378.03,2.11,380.14
2023-01-01 05:00:00,R&D,64.21,272.31,642.15,5.45,647.59
2023-01-01 06:00:00,Production,103.83,474.91,1038.3,9.5,1047.8
2023-01-01 06:00:00,Admin,55.01,234.75,550.14,4.69,554.84
2023-01-01 06:00:00,IT,52.05,160.27,520.54,3.21,523.74
2023-01-01 06:00:00,HR,53.72,102.63,537.19,2.05,539.24
2023-01-01 06:00:00,R&D,65.96,240.17,659.59,4.8,664.39
